post_id,platform,topic,text_length,likes,shares,comments,hashtags,mentions,sentiment,engagement_rate,verified_account,sample_text
POST00000,TikTok,Sports,98,34,19,6,1,2,Positive,0.576828321787439,False,This is best great best content about health
POST00001,Instagram,Politics,165,86,0,17,2,1,Negative,0.4700458022347501,False,This is awful terrible hate content about sports
POST00002,TikTok,Health,172,140,10,1,4,2,Positive,0.6668182427709081,False,This is great amazing fantastic content about technology
POST00003,TikTok,Health,192,19,1,13,6,4,Positive,0.40303532330314973,False,This is wonderful best excellent content about technology
POST00004,Instagram,Sports,174,32,9,58,4,1,Positive,0.6028929107090446,False,This is wonderful best amazing content about entertainment
POST00005,Facebook,Health,122,218,14,9,5,3,Positive,0.39063971450754864,True,This is amazing fantastic amazing content about technology
POST00006,LinkedIn,Health,21,72,11,6,3,2,Negative,0.4780683942861935,False,This is disappointing worst awful content about business
POST00007,Twitter,Politics,45,25,23,15,8,2,Positive,0.021214357851395693,False,This is fantastic excellent love content about technology
POST00008,Facebook,Politics,151,187,8,3,5,1,Positive,0.4289360065913793,False,This is best wonderful great content about business
POST00009,Instagram,Technology,53,223,26,0,6,2,Positive,0.7451928082589908,False,This is love best best content about sports
POST00010,Facebook,Sports,81,136,94,51,5,1,Negative,0.6902644428547036,False,This is awful bad disappointing content about business
POST00011,LinkedIn,Entertainment,122,50,22,12,3,3,Positive,0.2179127360878842,False,This is excellent excellent great content about business
POST00012,Facebook,Technology,235,67,7,7,8,1,Positive,0.5884227384563777,False,This is fantastic fantastic best content about education
POST00013,Instagram,Technology,22,26,11,6,2,1,Neutral,0.587939152033604,False,This is typical standard regular content about politics
POST00014,Instagram,Politics,196,184,19,13,7,3,Neutral,0.7979911964939427,False,This is standard typical fine content about technology
POST00015,Instagram,Entertainment,57,10,7,26,9,1,Positive,0.7325575917356578,True,This is best wonderful love content about politics
POST00016,Facebook,Education,76,89,0,1,8,0,Positive,0.28877268514108956,True,This is fantastic best fantastic content about health
POST00017,Twitter,Health,196,322,28,24,5,4,Negative,0.509425747909528,True,This is terrible worst worst content about business
POST00018,LinkedIn,Politics,32,191,80,1,3,1,Neutral,0.21079624551705667,False,This is fine okay fine content about business
POST00019,Twitter,Politics,69,67,2,10,3,1,Positive,0.5747857257416831,False,This is wonderful great best content about entertainment
POST00020,Twitter,Health,116,11,10,2,4,0,Negative,0.090047981759804,False,This is disappointing bad worst content about entertainment
POST00021,LinkedIn,Entertainment,186,52,10,1,6,1,Positive,0.009884139487825183,False,This is excellent wonderful great content about education
POST00022,TikTok,Business,189,26,7,2,6,2,Neutral,0.12429486925555544,False,This is typical regular average content about sports
POST00023,TikTok,Health,25,79,21,1,5,0,Positive,0.8960323117815419,False,This is best fantastic wonderful content about education
POST00024,Instagram,Technology,144,16,40,2,0,1,Neutral,0.08334539626443294,False,This is standard fine okay content about technology
POST00025,TikTok,Education,60,18,36,25,7,0,Neutral,0.7278493506567852,True,This is fine fine fine content about politics
POST00026,Twitter,Business,278,184,30,1,3,3,Positive,0.7394129663428255,False,This is amazing amazing fantastic content about sports
POST00027,Facebook,Business,275,84,36,39,0,0,Positive,0.513917364265991,False,This is excellent love love content about business
POST00028,Instagram,Education,70,239,6,5,8,2,Neutral,0.3775779848490781,False,This is regular okay regular content about sports
POST00029,LinkedIn,Politics,202,160,24,3,0,3,Neutral,0.9607177289980924,False,This is typical okay regular content about sports
POST00030,LinkedIn,Sports,55,66,10,2,6,0,Negative,0.19325089903285064,False,This is horrible worst hate content about politics
